contact_id,session_id,topic_name,confidence_score,response_type,thumbs_up,thumbs_down,escalated_to_agent,business_unit,application_channel,handle_seconds_dur,derived_resolution_score,created_at
CONT-6707D46A,SESS-5F52BE55,Account Management,0.3211,FAQ,0,0,1,Healthcare,Web,183,0.0532,2026-04-03T11:18:46
CONT-AA75BEEC,SESS-12F58809,Billing Inquiry,0.8617,Escalation,0,0,0,Travel,Kiosk,28,0.3813,2026-03-15T09:45:54
CONT-5A649855,SESS-DEF3A4AB,Technical Troubleshooting,0.5475,Self-Service,0,0,0,Financial Services,Mobile App,88,0.2532,2026-03-25T05:28:14
CONT-C5B8C25A,SESS-48D6EE30,Order Status,0.5404,Self-Service,0,0,0,Technology,Mobile App,25,0.2556,2026-03-29T10:35:58
CONT-333035CE,SESS-744E0A3B,Subscription Management,0.7026,Free Text,0,0,0,Travel,Web,31,0.3246,2026-04-01T07:55:29
CONT-32E9AD2F,SESS-661F8ED6,Billing Inquiry,0.569,Self-Service,0,0,0,Technology,Mobile App,216,0.2413,2026-03-08T07:43:56
CONT-88432A2F,SESS-EA03184B,Technical Troubleshooting,0.5373,Guided Flow,0,0,0,Travel,IVR,27,0.2628,2026-03-21T13:26:56
CONT-F0BD1BD0,SESS-EDDE14C5,Technical Troubleshooting,0.6046,FAQ,0,0,0,Travel,IVR,124,0.3129,2026-03-15T21:51:11
CONT-9A46F7D0,SESS-65FD0FAE,Account Management,0.6084,FAQ,0,0,0,Travel,IVR,274,0.3363,2026-03-15T14:29:28
CONT-82EB25A0,SESS-5B9B9148,Subscription Management,0.6994,Self-Service,0,0,0,Healthcare,Web,211,0.3222,2026-04-02T14:53:11
CONT-2F5B6595,SESS-7EF6C06E,Product Support,0.5574,FAQ,0,0,0,Travel,Web,15,0.2821,2026-04-01T14:04:33
CONT-405BE034,SESS-082B18AD,General Inquiry,0.5817,Free Text,0,0,0,Retail,Kiosk,22,0.2747,2026-04-05T23:52:21
CONT-2E28C7CC,SESS-DEADDDBF,Product Support,0.575,Handoff,0,0,0,Financial Services,Web,36,0.2552,2026-03-19T10:57:08
CONT-4EACA790,SESS-1E3B4A4E,Billing Inquiry,0.7961,Self-Service,0,0,0,Technology,Kiosk,34,0.4235,2026-03-16T05:19:30
CONT-8851D4C7,SESS-CC8F3187,Returns & Refunds,0.7862,Free Text,0,0,0,Technology,Mobile App,141,0.378,2026-04-03T09:02:59
CONT-E279A545,SESS-D1E34DCF,Account Management,0.6998,Escalation,0,0,0,Financial Services,Mobile App,97,0.3063,2026-03-17T16:04:26
CONT-F8790A91,SESS-4274F158,Billing Inquiry,0.5306,Handoff,0,0,0,Retail,Kiosk,68,0.2641,2026-03-29T09:18:42
CONT-57831F1B,SESS-CD082E99,Subscription Management,0.5389,Guided Flow,0,0,0,Healthcare,IVR,26,0.2924,2026-03-07T01:43:56
CONT-BF5D6C3B,SESS-35CA0FC9,Account Management,0.5157,Escalation,0,0,0,Travel,Mobile App,178,0.2512,2026-03-26T16:20:23
CONT-CDF31E79,SESS-2EB49985,Technical Troubleshooting,0.8451,Guided Flow,0,0,0,Technology,Mobile App,150,0.4488,2026-04-03T02:20:37
CONT-6B737A83,SESS-1BDD7327,Order Status,0.7317,Guided Flow,0,0,0,Healthcare,Mobile App,32,0.3583,2026-03-08T13:20:35
CONT-EE145C70,SESS-04AF41F4,Password Reset,0.5011,Guided Flow,0,0,0,Retail,Web,35,0.2981,2026-03-15T00:26:43
CONT-3E7BDB26,SESS-DEFA5E75,General Inquiry,0.7611,Self-Service,0,0,0,Healthcare,Partner API,125,0.3703,2026-03-30T05:15:20
CONT-81D52051,SESS-51EF4C79,Product Support,0.5746,Free Text,0,0,0,Healthcare,Kiosk,77,0.2772,2026-03-10T00:23:32
CONT-249CA701,SESS-F3B537F4,Account Management,0.6675,Guided Flow,0,0,0,Retail,Web,193,0.3256,2026-03-30T19:33:01
CONT-092E2D65,SESS-BB5FE3EC,Technical Troubleshooting,0.6635,Self-Service,1,0,0,Travel,Kiosk,58,0.6514,2026-04-01T04:29:06
CONT-57DD96A9,SESS-9E0F555C,Product Support,0.4406,Guided Flow,0,0,0,Travel,IVR,55,0.1916,2026-03-31T04:34:54
CONT-8C9FD144,SESS-25175903,Product Support,0.6582,Escalation,0,0,0,Travel,Mobile App,129,0.3469,2026-03-15T05:51:28
CONT-EEB1E699,SESS-7B362DA9,Loyalty Program,0.835,Escalation,0,0,0,Retail,Web,53,0.3835,2026-04-03T02:51:56
CONT-1A981D82,SESS-5B7C2FC2,General Inquiry,0.5512,Free Text,0,0,0,Healthcare,Mobile App,43,0.2402,2026-03-20T11:51:13
CONT-893F2F5C,SESS-23631F2D,Subscription Management,0.7968,FAQ,0,0,0,Retail,Kiosk,92,0.4482,2026-03-20T04:55:58
CONT-24B44694,SESS-00F5B2E8,Technical Troubleshooting,0.3887,Self-Service,0,0,0,Retail,Kiosk,199,0.1728,2026-03-21T04:40:57
CONT-FF553233,SESS-6366C138,Product Support,0.6783,Handoff,0,0,0,Retail,Partner API,10,0.3492,2026-03-15T15:19:58
CONT-30F4242A,SESS-B7BF1C26,Returns & Refunds,0.6125,Handoff,0,0,0,Travel,IVR,177,0.3194,2026-03-16T08:46:41
CONT-66D637F7,SESS-23180AF4,Billing Inquiry,0.6703,Free Text,0,0,0,Technology,Partner API,72,0.3368,2026-03-17T20:35:52
CONT-A15678CC,SESS-4A25D12B,Loyalty Program,0.7802,Free Text,0,0,0,Healthcare,Partner API,134,0.3814,2026-03-09T18:48:02
CONT-AC889C63,SESS-C693AE40,Account Management,0.5713,Free Text,0,0,0,Technology,Partner API,138,0.2642,2026-04-03T17:51:08
CONT-D412112D,SESS-40C26A5F,Password Reset,0.7517,FAQ,0,0,0,Technology,IVR,58,0.3965,2026-03-16T19:59:10
CONT-27CFE477,SESS-12946638,Returns & Refunds,0.6009,Guided Flow,0,0,0,Travel,IVR,140,0.3304,2026-04-02T10:57:18
CONT-62D1D575,SESS-3327C226,Password Reset,0.8024,Handoff,0,0,0,Travel,Mobile App,27,0.4005,2026-03-31T12:40:19
CONT-71E243E2,SESS-1435E51B,General Inquiry,0.5653,Escalation,0,0,0,Healthcare,Partner API,50,0.239,2026-03-24T20:03:19
CONT-069575BA,SESS-E6E5C1C9,Loyalty Program,0.6456,Free Text,0,0,0,Technology,Partner API,36,0.3384,2026-04-03T09:47:11
CONT-43347F97,SESS-D49B1816,Technical Troubleshooting,0.6266,Guided Flow,0,0,0,Technology,IVR,98,0.2856,2026-03-09T08:19:48
CONT-DF621541,SESS-6A8952D0,Password Reset,0.4788,Self-Service,0,0,0,Travel,Mobile App,179,0.2599,2026-03-23T05:06:38
CONT-209811C4,SESS-05401203,Billing Inquiry,0.5056,Free Text,0,0,0,Financial Services,Mobile App,72,0.2818,2026-03-19T00:13:49
CONT-4EE38568,SESS-97E4E7BC,Subscription Management,0.6833,Self-Service,0,0,0,Financial Services,Web,31,0.3858,2026-04-01T19:32:42
CONT-95BA2A80,SESS-1A67E3AA,Order Status,0.7399,Free Text,1,0,1,Travel,Kiosk,1113,0.4989,2026-03-09T12:17:01
CONT-FAF1AA6F,SESS-9CE34F0E,Billing Inquiry,0.6343,Free Text,0,0,0,Financial Services,Web,53,0.3496,2026-03-17T11:09:53
CONT-6C9DAF2C,SESS-0B55002D,Password Reset,0.6318,Escalation,0,0,0,Financial Services,Kiosk,171,0.266,2026-03-16T00:59:22
CONT-B5C3BAFF,SESS-41114550,Technical Troubleshooting,0.3898,Guided Flow,0,0,0,Healthcare,Web,55,0.2073,2026-04-04T08:39:32
CONT-15657895,SESS-342891FD,Password Reset,0.657,Escalation,0,0,0,Financial Services,Mobile App,79,0.3184,2026-04-05T15:02:54
CONT-B5C3BAFF,SESS-C829713C,Technical Troubleshooting,1.0,Free Text,0,0,0,Financial Services,Mobile App,71,0.4834,2026-04-02T13:14:24
CONT-774E8163,SESS-710C6621,Order Status,0.751,Free Text,0,0,0,Retail,Kiosk,83,0.356,2026-03-14T12:42:04
CONT-87426CF2,SESS-DC78B0F4,Billing Inquiry,0.8412,Handoff,0,0,0,Healthcare,IVR,36,0.4523,2026-04-04T01:06:23
CONT-4BCEFB7D,SESS-56DA20A5,Loyalty Program,0.6505,FAQ,0,0,0,Financial Services,Kiosk,257,0.3512,2026-03-09T06:20:52
CONT-D0AA31E7,SESS-B21C6390,Returns & Refunds,0.7162,Guided Flow,0,0,0,Retail,Partner API,62,0.3631,2026-03-27T21:47:14
CONT-BB6CB65C,SESS-2B0F9680,Technical Troubleshooting,0.9375,Guided Flow,0,0,1,Retail,Mobile App,266,0.3316,2026-04-04T05:16:34
CONT-3B7B4FDD,SESS-64131A81,Billing Inquiry,0.8095,Guided Flow,0,0,0,Financial Services,Mobile App,61,0.3686,2026-03-26T09:27:46
CONT-7B0643E6,SESS-4BEF746B,Billing Inquiry,0.7554,Free Text,0,0,0,Financial Services,IVR,312,0.3981,2026-03-20T14:15:59
CONT-2ED21BFE,SESS-FBFF1AEF,Product Support,0.4995,FAQ,0,0,0,Retail,Kiosk,154,0.263,2026-03-31T09:34:45
CONT-985CBFAA,SESS-5BA4ED22,Returns & Refunds,0.8343,Free Text,0,1,0,Financial Services,Kiosk,58,0.1875,2026-03-25T14:34:36
CONT-C4E5B5B9,SESS-1AC69E44,Loyalty Program,0.737,Guided Flow,0,0,0,Travel,IVR,233,0.3617,2026-03-11T19:18:30
CONT-977C1311,SESS-C7FCB622,Password Reset,0.7448,Escalation,1,0,0,Financial Services,Web,56,0.7017,2026-03-08T10:37:13
CONT-0011BE87,SESS-631A7EAC,Subscription Management,0.6692,Escalation,0,0,0,Retail,Web,100,0.3131,2026-03-31T22:51:50
CONT-CF7482AF,SESS-37C08D17,Product Support,0.8648,Handoff,0,0,0,Financial Services,Kiosk,59,0.4114,2026-03-18T08:08:42
CONT-73DFB371,SESS-1C6ED46B,Technical Troubleshooting,0.0571,Self-Service,0,0,1,Retail,Partner API,43,0.0,2026-04-04T22:34:41
CONT-5473931F,SESS-30990ED8,Account Management,0.9394,Self-Service,0,0,0,Healthcare,Kiosk,28,0.4614,2026-03-07T05:53:50
CONT-1FEA23FF,SESS-1B52B12D,Subscription Management,0.6069,Self-Service,0,0,0,Travel,Web,51,0.3437,2026-03-18T08:47:52
CONT-DC456AF4,SESS-AF40C9C2,Product Support,0.529,Escalation,1,0,1,Financial Services,Kiosk,45,0.3672,2026-03-20T04:31:43
CONT-9C100BDA,SESS-2DB24AA7,Billing Inquiry,0.3301,Guided Flow,0,0,1,Travel,Web,89,0.0168,2026-03-13T06:15:51
CONT-351F1908,SESS-958BCBC7,Subscription Management,0.7462,FAQ,0,0,0,Healthcare,IVR,279,0.3924,2026-04-02T11:51:57
CONT-17696243,SESS-563EE1A3,Password Reset,0.2494,Handoff,0,0,1,Technology,IVR,172,0.0,2026-03-16T21:42:55
CONT-18966676,SESS-B5BD9DB0,Account Management,0.4891,Handoff,0,0,0,Travel,IVR,134,0.2721,2026-03-18T00:56:05
CONT-69E21CDA,SESS-E984421F,Subscription Management,0.5455,Handoff,0,0,0,Travel,IVR,112,0.2523,2026-03-21T15:43:55
CONT-FAC0F3EA,SESS-0ABAB02A,Subscription Management,0.7767,Escalation,0,0,1,Travel,Kiosk,257,0.2573,2026-03-15T12:38:33
CONT-F8CF2BE5,SESS-F6D83293,Loyalty Program,0.4258,Self-Service,0,0,0,Healthcare,Web,110,0.1968,2026-03-20T07:28:53
CONT-EDDDEC0D,SESS-2D1A79AD,Billing Inquiry,0.3038,Handoff,0,0,0,Financial Services,Mobile App,34,0.1911,2026-03-16T17:24:40
CONT-8109F0E6,SESS-EEBFDF39,Billing Inquiry,1.0,Handoff,0,0,0,Retail,IVR,61,0.4811,2026-04-05T05:27:42
CONT-D69146EF,SESS-49BEDE0E,Product Support,0.6398,Free Text,0,0,0,Healthcare,Partner API,61,0.3333,2026-03-13T06:52:06
CONT-C93F67C2,SESS-16967C1C,Account Management,0.5745,Handoff,0,0,0,Healthcare,Web,37,0.3246,2026-03-17T09:32:54
CONT-55BA21AD,SESS-A1D9A507,Subscription Management,0.9138,Escalation,0,0,0,Travel,IVR,37,0.47,2026-03-30T04:33:08
CONT-C266A088,SESS-F58A4FFB,Technical Troubleshooting,0.456,Self-Service,0,0,0,Retail,Kiosk,27,0.2014,2026-03-13T23:05:41
CONT-1E886570,SESS-D9EF6A0A,Password Reset,0.7427,Free Text,0,0,0,Technology,Partner API,136,0.4125,2026-03-13T08:22:39
CONT-BA5AC9B0,SESS-D07E8CF0,Account Management,0.6467,Self-Service,0,0,0,Technology,Mobile App,54,0.3321,2026-03-31T03:28:26
CONT-F05ECFFF,SESS-B3C16AC9,Password Reset,0.4219,Handoff,0,0,0,Travel,Kiosk,28,0.2483,2026-03-07T06:12:42
CONT-2A680DFC,SESS-9574549C,Loyalty Program,0.6111,Self-Service,0,0,0,Retail,Web,58,0.3243,2026-03-26T15:15:03
CONT-5A649855,SESS-5E5A8B5B,Subscription Management,0.7664,Guided Flow,0,0,0,Technology,Kiosk,80,0.4108,2026-03-16T04:29:29
CONT-A6DA1179,SESS-43072BC4,General Inquiry,0.5568,Self-Service,1,0,0,Retail,Web,33,0.55,2026-03-13T01:14:52
