contact_id,session_id,event_type,page_name,application_channel,business_unit,time_on_page_seconds,scroll_depth_pct,is_bounce,event_timestamp
CONT-09593DB3,SESS-CE029BD1,search,/orders,Kiosk,Healthcare,3,92.8,0,2026-03-12T08:32:22
CONT-414525F2,SESS-2E54BA88,form_submit,/checkout,Mobile App,Retail,93,27.7,0,2026-03-10T16:53:02
CONT-FC487FCE,SESS-9543AFB0,form_submit,/products,Kiosk,Technology,17,14.0,0,2026-03-28T18:07:01
CONT-1FC36398,SESS-C1F2F2A5,chat_open,/orders,Web,Financial Services,305,86.0,0,2026-04-05T19:53:55
CONT-F54C362D,SESS-E7C0939E,chat_close,/checkout,Mobile App,Healthcare,24,43.3,0,2026-03-30T23:53:48
CONT-892CC024,SESS-738EAD68,chat_close,/contact,Mobile App,Travel,134,86.7,0,2026-03-10T08:04:23
CONT-BBD43A49,SESS-98A0F196,search,/settings,IVR,Travel,56,23.7,0,2026-03-16T21:14:24
CONT-29B1B77D,SESS-1C1294C5,chat_open,/products,Partner API,Financial Services,18,40.3,0,2026-03-29T05:22:45
CONT-29CDAD47,SESS-32A6D05D,chat_close,/faq,Web,Financial Services,10,48.8,0,2026-04-02T00:35:40
CONT-E6A03AF9,SESS-C785362A,page_view,/settings,Kiosk,Technology,120,22.1,0,2026-04-03T15:57:51
CONT-3231A688,SESS-B41FC429,form_submit,/support,Kiosk,Technology,74,0.7,0,2026-03-13T12:40:41
CONT-04F8D6B6,SESS-A457EE2D,button_click,/account,IVR,Financial Services,96,45.6,0,2026-03-31T10:43:42
CONT-7231B341,SESS-C666F9E4,form_submit,/support,Kiosk,Technology,32,77.1,0,2026-03-18T15:53:43
CONT-4388C778,SESS-1BE1A40B,chat_open,/billing,Partner API,Technology,44,82.1,0,2026-03-21T10:01:51
CONT-C898BE3E,SESS-72D6C003,button_click,/home,IVR,Travel,55,17.2,0,2026-03-08T13:58:30
CONT-8AB9184B,SESS-59270D70,button_click,/support,Mobile App,Technology,82,31.5,0,2026-04-03T04:11:25
CONT-3A6DBD82,SESS-38FBBB1C,chat_close,/checkout,IVR,Retail,16,4.6,0,2026-03-27T00:34:11
CONT-120B3B42,SESS-E8A4F097,form_submit,/products,IVR,Technology,13,1.9,0,2026-03-13T16:24:21
CONT-B53D3940,SESS-4DE7AB36,form_submit,/orders,Partner API,Financial Services,57,20.8,0,2026-03-19T14:29:36
CONT-55651E82,SESS-BC4BBEEA,button_click,/products,Web,Technology,40,41.3,0,2026-03-15T06:46:09
CONT-A0BA33CE,SESS-FEC83C39,button_click,/contact,Partner API,Financial Services,17,75.8,0,2026-03-22T07:02:55
CONT-2882CC9F,SESS-53C085A1,page_view,/support,Web,Travel,23,20.7,0,2026-03-22T17:32:33
CONT-5CF7E3AC,SESS-B4CCB476,chat_open,/orders,Mobile App,Technology,59,54.5,0,2026-03-21T13:38:42
CONT-AED0D896,SESS-ED7480ED,search,/settings,Web,Healthcare,23,83.5,0,2026-03-29T11:57:11
CONT-1B34B61F,SESS-2574ADD7,button_click,/account,Web,Travel,99,74.8,0,2026-04-02T21:10:01
