contact_id,session_id,topic_name,business_unit,application_channel,language,num_turns,contained,escalated_to_agent,csat_score,queue_name,session_duration_seconds,confidence_score,derived_resolution_score,session_start
CONT-94F24E42,SESS-A6E438A8,Subscription Management,Technology,Kiosk,en,15,0,0,,,899,0.3614,0.253,2026-04-03T23:43:22
CONT-E7599CB4,SESS-949B7F83,Order Status,Healthcare,Web,en,8,0,1,3.4,General-Service,301,0.6378,0.4591,2026-04-02T18:55:12
CONT-BB6CB65C,SESS-B881954D,Order Status,Healthcare,Kiosk,en,18,1,0,3.0,,458,0.5674,0.707,2026-03-20T16:33:30
CONT-C2010384,SESS-6431CCE7,Subscription Management,Travel,Kiosk,en,20,1,0,,,854,0.5151,0.6606,2026-03-20T06:25:14
CONT-106A0426,SESS-5C964FED,Order Status,Healthcare,Kiosk,fr,4,0,0,1.6,,255,0.5304,0.3082,2026-03-14T00:49:19
CONT-9410939C,SESS-E00C9532,Password Reset,Healthcare,Mobile App,en,5,1,0,3.7,,410,0.7488,0.8215,2026-03-21T01:17:22
CONT-52E21285,SESS-C6A66A3D,Password Reset,Travel,IVR,en,1,0,0,4.6,,28,0.7081,0.5592,2026-04-01T10:12:59
CONT-88432A2F,SESS-3453FBED,Product Support,Technology,Web,es,3,1,0,,,116,0.4578,0.6205,2026-03-24T17:15:52
CONT-DDE2193A,SESS-6910FCAD,Returns & Refunds,Healthcare,Kiosk,fr,14,1,0,2.6,,180,0.3859,0.6104,2026-04-05T06:48:48
CONT-A41CAFC5,SESS-B9CD7619,Password Reset,Healthcare,Mobile App,pt,1,0,1,2.6,Billing-Ops,31,0.4521,0.3368,2026-03-14T20:47:08
CONT-E35887D8,SESS-A29301E7,Technical Troubleshooting,Retail,Kiosk,en,3,1,0,4.1,,119,0.7085,0.8294,2026-03-09T03:48:07
CONT-18C2D91E,SESS-0FB120FD,Billing Inquiry,Healthcare,Partner API,es,2,1,0,4.4,,158,0.7253,0.8541,2026-04-02T16:47:27
CONT-ACF16387,SESS-044EE1C3,Account Management,Retail,Web,en,12,1,0,4.2,,1102,0.7017,0.8327,2026-03-26T04:24:25
CONT-6DC6A2B5,SESS-49995524,Account Management,Retail,IVR,en,19,0,1,2.0,Tech-Escalation,1136,0.4443,0.2977,2026-03-12T17:36:34
CONT-D161E526,SESS-836B072C,Subscription Management,Retail,Kiosk,fr,10,0,1,,Tech-Escalation,452,0.5845,0.4092,2026-03-14T21:17:18
CONT-62C1A4B9,SESS-AA5B1BF2,Product Support,Healthcare,Web,en,13,0,1,4.6,Tech-Escalation,951,0.4849,0.47,2026-03-28T13:33:36
CONT-DF621541,SESS-A6E9A3FE,General Inquiry,Technology,Mobile App,en,1,1,0,,,22,0.7943,0.856,2026-03-27T10:29:45
CONT-E26AAE49,SESS-5A92A798,Password Reset,Retail,IVR,en,11,1,0,,,400,0.7086,0.796,2026-03-31T02:16:31
CONT-ADAABE9D,SESS-5C9D66BB,Password Reset,Retail,Kiosk,de,7,0,0,4.1,,201,0.5899,0.482,2026-04-05T10:20:04
CONT-CBFA346C,SESS-A7913B21,Billing Inquiry,Technology,Mobile App,en,3,1,0,,,167,0.6523,0.7566,2026-03-24T07:11:58
CONT-69265635,SESS-150214D1,Password Reset,Financial Services,IVR,zh,11,0,1,,Billing-Ops,707,0.6696,0.4687,2026-03-23T03:26:22
CONT-CF493893,SESS-233C19D0,Technical Troubleshooting,Retail,IVR,en,16,0,0,3.4,,649,0.5521,0.4248,2026-04-05T10:10:21
CONT-5CF7E3AC,SESS-0F05F665,Returns & Refunds,Technology,Kiosk,en,10,0,0,2.0,,197,0.8456,0.4582,2026-03-08T08:45:40
CONT-8B7A8EE6,SESS-5D4AB5AB,Order Status,Healthcare,IVR,ja,12,0,1,3.7,Tech-Escalation,873,0.4551,0.404,2026-03-11T06:46:55
CONT-D5E3C403,SESS-99D8B093,Subscription Management,Financial Services,Kiosk,en,8,1,0,,,335,0.6715,0.77,2026-03-31T05:52:02
